skill_name,domain,attack_id,technique_name,is_subtechnique,attack_url,stix_id,attack_version,modified
attack-ent-t1001-data-obfuscation,enterprise,T1001,Data Obfuscation,false,https://attack.mitre.org/techniques/T1001,attack-pattern--ad255bfe-a9e6-4b52-a258-8d3462abe842,1.2,2025-10-24T17:49:13.380Z
attack-ent-t1001-001-junk-data,enterprise,T1001.001,Junk Data,true,https://attack.mitre.org/techniques/T1001/001,attack-pattern--f7c0689c-4dbd-489b-81be-7cb7c7079ade,1.1,2025-10-24T17:49:38.011Z
attack-ent-t1001-002-steganography,enterprise,T1001.002,Steganography,true,https://attack.mitre.org/techniques/T1001/002,attack-pattern--eec23884-3fa1-4d8a-ac50-6f104d51e235,1.1,2025-10-24T17:49:35.060Z
attack-ent-t1001-003-protocol-or-service-impersonation,enterprise,T1001.003,Protocol or Service Impersonation,true,https://attack.mitre.org/techniques/T1001/003,attack-pattern--c325b232-d5bc-4dde-a3ec-71f3db9e8adc,2.1,2025-10-24T17:49:20.574Z
attack-ent-t1003-os-credential-dumping,enterprise,T1003,OS Credential Dumping,false,https://attack.mitre.org/techniques/T1003,attack-pattern--0a3ead4e-6d47-4ccb-854c-a6a4f9d96b22,2.2,2025-10-24T17:48:22.201Z
attack-ent-t1003-001-lsass-memory,enterprise,T1003.001,LSASS Memory,true,https://attack.mitre.org/techniques/T1003/001,attack-pattern--65f2d882-3f41-4d48-8a06-29af77ec9f90,1.5,2025-10-24T17:48:52.657Z
attack-ent-t1003-002-security-account-manager,enterprise,T1003.002,Security Account Manager,true,https://attack.mitre.org/techniques/T1003/002,attack-pattern--1644e709-12d2-41e5-a60f-3470991f5011,1.1,2025-10-24T17:48:26.545Z
attack-ent-t1003-003-ntds,enterprise,T1003.003,NTDS,true,https://attack.mitre.org/techniques/T1003/003,attack-pattern--edf91964-b26e-4b4a-9600-ccacd7d7df24,1.3,2025-10-24T17:49:34.852Z
attack-ent-t1003-004-lsa-secrets,enterprise,T1003.004,LSA Secrets,true,https://attack.mitre.org/techniques/T1003/004,attack-pattern--1ecfdab8-7d59-4c98-95d4-dc41970f57fc,1.1,2025-10-24T17:48:29.945Z
attack-ent-t1003-005-cached-domain-credentials,enterprise,T1003.005,Cached Domain Credentials,true,https://attack.mitre.org/techniques/T1003/005,attack-pattern--6add2ab5-2711-4e9d-87c8-7a0be8531530,1.1,2025-10-24T17:48:54.919Z
attack-ent-t1003-006-dcsync,enterprise,T1003.006,DCSync,true,https://attack.mitre.org/techniques/T1003/006,attack-pattern--f303a39a-6255-4b89-aecc-18c4d8ca7163,1.1,2025-10-24T17:49:36.308Z
attack-ent-t1003-007-proc-filesystem,enterprise,T1003.007,Proc Filesystem,true,https://attack.mitre.org/techniques/T1003/007,attack-pattern--3120b9fa-23b8-4500-ae73-09494f607b7d,1.2,2025-10-24T17:48:36.165Z
attack-ent-t1003-008-etc-passwd-and-etc-shadow,enterprise,T1003.008,/etc/passwd and /etc/shadow,true,https://attack.mitre.org/techniques/T1003/008,attack-pattern--d0b4fcdb-d67d-4ed2-99ce-788b12f8c0f4,1.2,2025-10-24T17:49:25.253Z
attack-ent-t1005-data-from-local-system,enterprise,T1005,Data from Local System,false,https://attack.mitre.org/techniques/T1005,attack-pattern--3c4a2599-71ee-4405-ba1e-0e28414b4bc5,1.8,2025-10-24T17:48:40.839Z
